Orador,Texto
"vidal, rossana", coherente unas con otras está normal en todo caso es similar a la que existe en la circular número 5 que ordena este tipo de cosas en la cámara diputado que se pone una limitación de la cantidad de pasajes mensuales que tiene derecho a constituyente desde su región de origen hasta donde sesiona la convención pero en la enmienda siguiente se propone que si es que hay sesiones itinerante en otras regiones del país bueno también se provea de esos de esos medios de esos pasajes por parte de la convención shuar y administrativa para que los convencionales puedan llegar es simplemente para evitar exceso en esta materia y estimamos que una cifra razonable y sea el mecanismo de salida para cuando esta sesión no sea en santiago muchas gracias muy bien muchas gracias se entiende hecha entonces la explicación respecto de las dos enmiendas que que vienen en votación la primera de ellas sobre solicitar un máximo de cuatro pasajes y de vuelta en votación
"vidal, rossana", podrían objetar la legitimidad jurídica
"vidal, rossana", en primer lugar tenemos que entender que no podemos descalificarnos de esa manera no podemos descalificarnos en términos personales hay una hay un mínimo de respeto que debemos resguardar en todos los espacios de trabajo especialmente en espacios como este que son espacios de representación de la voluntad popular finalmente quisiera responder la intervención de marcos barraza en el sentido de que la solicitud va a ser sometida a votación el día martes en el pleno o respectivo por haberse cumplido el objeto de la votación de la sesión se levanta la sesión
"vidal, rossana",
"vidal, rossana", los días presidenta buenos días a la mesa y a todos los convencionales en realidad comparto lo señalado por la convencional bárbara porque creo que sí es importante el poder abrir un espacio para indicaciones y también señalar algo que es llamativo porque estamos hablando de plazos que son extremadamente acotado si es una realidad y estamos frente a otra realidad que es una más llamativa aún tenemos un edificio espejo al que estamos ocupando nosotros y hasta este minuto no hemos tenido de manera objetiva la liberación de salas que nos permitan sesionar de manera un poco más extensa en espacios donde se pueda cumplir el aforo y eso es importante señalarlo es importante señalar también y que la comunidad lo sepa que la forma como hemos organizado nuestros trabajos también está condicionada por la estructura del punto de vista de la asistencia técnica que tenemos para poder hacer nuestros nuestras sesiones transparentes y que éstas sean también visibilizadas con nuestra comunidad entonces creo que es importante aquello porque estamos sacrificando una deliberación extendida que yo creo que le da mucho valor a la narrativa y al relato de lo que estamos escribiendo porque no contamos con espacios y tiempos suficientes para hacer nuestro trabajo de manera un poco más acuciosa probablemente y por lo tanto nos vemos enfrentados a esto no que sencillamente votamos sin tener todos la claridad objetiva de lo que estamos votando creo que es importante que revisemos ese punto y por esa misma razón hay que resolver el tema de los espacios más espacios más tiempos y además el plazo también para poder hacer las indicaciones pertinentes después de realizar esta propuesta muchas gracias
"vidal, rossana", muchas gracias secretario bueno estaba sacando la cuenta y hace exactamente 43 días que esperó por este minuto para retomarlo de nuevo y quiero hacer nuevamente el punto porque creo que está sacando cuenta creo que 7 veces ya lo he planteado de manera formal en el pleno a través de correos a través de un trabajo que se hizo con un grupo de enfermeras y estoy haciendo alusión a la importancia de implementar el protocolo sanitario que fue creado y elaborado por él por él por el equipo médico que es el colegio me dedico a no obstante no ha sido implementado y creo que pudiera ser que nos estemos enfrentando una situación compleja porque parece y estamos en una especie quizá nos queda que no de ventana pandémica y eso significa que pareciera ser que no es importante contarles que el protocolo no se cumple contarles que es muy difícil evitar que de todas formas se ingrese café bebidas y demás es a este espacio y es porque no tenemos nadie que lo controle no está no está formalmente estructurado es importante un grupo de enfermeras vino acá hace muchas semanas presentamos una propuesta y dejando incluso de lado la situación pandémica que para mí es muy relevante ese le dio importancia cuando hubo un contagio de un asesor y nos puso en riesgo pero luego no pasó nada y se nos olvida esto no ha pasado y más allá de aquello necesitamos un espacio una enfermería aquí hay convencionales y asesores que tienen patologías crónicas que en algún minuto necesitan asistencia ya la necesitado y no contamos con nada teniendo incluso determinado el espacio pero necesitamos también validar esto como algo importante eso quería señalarlo y por favor que lo retomemos y lo recordemos y también de agradecer muchísimo fue interesante escuchar a la convencional ruth herrera me parece que es importante que empecemos a hablar del valor de lo biológico pero tomando incluso lo que señalaba el convencional garín respecto a su oligopolio no olvidemos que el mensaje es el mensajero no podemos pensar el valor del diálogo si no tenemos un mensaje que sea concordante con aquello así que tenemos que cuidarnos cuidarnos también porque esto es una construcción conjunta y como dijo una de nuestras personas que nos visitó en las audiencias dijo somos ustedes son lo más legítimo que ha tenido nuestro país en los últimos años no olvidemos aquello y por favor respondamos a las confianza ya los
"vidal, rossana", muchas gracias buenas tardes a todos ya todas en realidad solamente quiero sumarme a un profundo reconocimiento a todas los 31 con los 31 convencionales que estuvieron en esta tarea que cuando uno la mirada a distancia honestamente sí que valoramos este compromiso que fue yo creo que superlativo en realidad trabajaron mucho más de lo que cualquiera hubiera podido creer que podíamos por lo tanto cuando nos comprometemos con una tarea y aquí está demostrado que somos capaces de poner el máximo de nosotros para que esa tarea se lleve a cabo así que en lo particular quiero agradecer a cada una de las personas que estuvo ahí porque bueno tuvieron que descuidar probablemente parte en gran parte a sus familias tuvieron que distraer mucho tiempo que estaba por sobre lo que habíamos pensado a mí me parece que es un muy buen reglamento que estén está las bases para poder avanzar qué duda cabe que hay puntos que hay que probablemente reformular pero es una especie de columna vertebral y podemos fortalecer entre todos creo que claro están pasando cosas todos los días cada día en este país largo y ancho como decía una de nuestras compañeras y gente en huelga como puedo decir yo todavía hay una más de 12.000 personas que están viviendo en la calle también en plena en plena pandemia hay diferentes tipos de pueblo uno que grita y otro que es silente pero que también tiene necesidades por lo tanto esa es la tarea hacerlo bien enfocarnos en el trabajo aprender a escucharnos yo creo que eso es lo que más nos debiera preocupar aprender a dialogar yo creo que hemos hecho buenos intentos y aunque no se note porque a ratos no se nota yo siento que hemos avanzado así que muchísimas gracias bueno a amaya y a danielle que lideraron esta comisión
"vidal, rossana", muchas gracias bueno la verdad solo quiero pedir a cada uno de nuestros compañeros convencionales que nos colaboren a poder perfeccionar este trabajo que de verdad lo hicimos de manera rigurosa y no siempre consensuada pero sí con mucha profundidad de los contenidos yo creo que invariablemente este reglamento nos puede ayudar no solamente desde el punto de vista de la ética en el sentido estricto no sino que además que fue uno de los maravillosos aportes de los pueblos originarios de propiciar el buen vivir yo creo que eso nos falta esto nos puede ayudar ahora cada uno tiene su forma de ver la vida en lo particular creo que es muy válido darle valor a cuando uno en el convencimiento de que era la mejor fórmula el mejor artículo se enfrenta a un otro que le demuestra que no y yo creo que eso nos pasó después que lo entregamos empezamos a escuchar a otras personas y yo creo que eso también tiene valor estamos disponibles para poder para poder perfeccionarlo porque de verdad creo que esta puede ser una buena carta de navegación no estamos por defender porque no vamos a la lucha queremos construir y yo no tengo duda que 155 mentes y corazones piensan mucho mejor y con una mayor amplitud que 17 así es que esa es la invitación podemos hacerlo mejor o sea en el fondo lo que quiero decir por favor voten a favor en general y luego vemos cómo lo arreglamos y lo dejamos perfectos muchas gracias
"vidal, rossana", hacer una precisión porque al final del día aquí estamos hablando de un código de ética la ética y lo recuerdo para que lo pensemos está en el fuero interno son nuestros valores nuestros principios la forma de ver la vida lo que realmente acá importa no es como yo piense es como yo actúo respecto de lo que pienso y ahí está el código moral y eso lo hemos construido entre todos y hemos establecido normas y conductas y dicho sea de paso cuando nos cuestionamos el por qué estamos hablando de cosas como las que decía bárbara por ejemplo es porque son cosas que están pasando ahora porque la moral a diferencia de la ética que es más permanente porque es propia de uno es evolutiva va cambiando con el paso del tiempo y ahora hay cosas que antes no pasaban y que necesitan que tengamos otros tipos de regulaciones mírenme sobre tiempo cuando muchas gracias gracias
"vidal, rossana", muy buenos días a la presidente al vicepresidente y ya a todos nuestros a todos los convencionales bueno la verdad es que básicamente mi intervención tiene que ver con una profunda gratitud que ya habían avanzado dos meses puedo dar de manera personal a cada uno de los integrantes del pueblo original originarios porque si hay algo que puedo sacar como positivo en este tiempo es justamente la cercanía al menos con uno de ellos con el cual tuve la posibilidad de trabajar en la comisión de ética es una forma de ver el mundo diferente y creo que ahí tenemos todos un gran aprendizaje creo además que es bueno lo que decía recién el convencional daza que triste no es sentirse en alguna manera considerado como residual cuando históricamente nuestros pueblos originarios así han sido considerados creo que tenemos un deber y es darle efectivamente la posición que merecen cada cosa que ellos plantean debe ser escuchada como todos hemos tenido la posibilidad de hacerlo de manera histórica yo voy a aprobar este reglamento obviamente y sin duda alguna es necesario hacer algunas precisiones pero eso no es distinto a todos los reglamentos que hemos ido discutiendo me parece que tenemos que ser consecuentes tenemos que darle a cada uno lo que le corresponde y sin duda alguna a nuestros pueblos originarios les corresponde toda la honorabilidad que históricamente él ha sido sesgada por lo tanto me parece que eso es importante y solamente señalar ya que viene de un sector que él declaró del pueblo mapuche el convencional crettón debo decir que no comprendí muy bien si su intencionalidad era apoyar o no esta propuesta no obstante si me me preocupa que él señale que él ya también ha perdido la confianza en esta convención es válido que lo haga la comunidad y nuestro trabajo va a ir demostrando y haciendo que eso se reconstruya pero nosotros no podemos hacerlo porque representamos a todo un país así es que gracias a todos los integrantes de los pueblos originarios porque el buen vivir sera sin duda el gran de aprendizaje para nosotros
"vidal, rossana", muy buenas tardes en primer lugar quiero agradecer profundamente el trabajo de la comisión de derechos humanos a todos ya cada una de las organizaciones y personas que acudieron hasta esta convención con la finalidad de aportar insumos cognitivos pero muy por sobre todo por haber tenido la generosidad de haber abierto antiguas y actuales heridas de contextos biográficos fracturados con la única finalidad de poder aportar para construir un mejor país entonces y acabo de escuchar al convencional arancibia y agradezco mucho su reconocimiento hacia la convención ya el trabajo realizado pero debo decir lo voy a decir con todas sus letras me avergüenzo profundamente y a cada persona ya cada organización le pido perdón a nombre propio porque ezequiel conversión al coste y no lo va a hacer porque no se puede merecer el trabajo estamos construyendo un mejor país y si debo decir debo decir que uno solamente puede decir y construir un relato de aquello que vive el contexto biográfico es definitorio por lo tanto es altamente probable que como nunca él ha tenido que sufrir aquellas fracturas humanas profundas no logre comprender que este trabajo no es mejor que el de las universidades que este trabajo tiene mucho más valor porque este trabajo es humanidad humanidad en el amplio sentido de la palabra tenemos que ser respetuosos y tengo que decir esto porque nosotros estamos educando un país si usted no logra reconocer las horas y horas de trabajo que trabajaron todo el grupo que trabajó en esta comisión de verdad creo que no estará aquí no sé no sé dónde estaba pero aquí se trabaja y muy por sobre todos respetemos por favor a las
"vidal, rossana",
"vidal, rossana", de hacer una precisión bueno espero que esté bien entienda esta acotación que voy a hacer voy a procurar hacerla con el máximo de respeto y va principalmente para quienes están sesionando vía telemática hoy me parece a mí que es probable en esta virtualidad que a ratos pueda de manera involuntaria es cierto de quedar abierto un micrófono y salir un comentario que no estaba previsto que fuera dado a conocer de manera abierta
"vidal, rossana", muchas gracias secretaria no sé si se escucha se escuchará bien ahí o no muy bien ya es perfecto mire cuando también agradecer muchísimo en la persona person de roberto vega fue interesante oírlo digamos no es muy interesante yo quisiera decir muchas cosas pero está un poquito tiempo solamente voy a hacer una reflexión que se me vino a la mente porque también estoy un poco dolida con algunos comentarios y por favor que los que esté bien entienda tiene una intencionalidad buena no pero recordar en un antiguo es una antigua novela de lope de vega que habla del perro del hortelano' y aquí va el mensaje el mensaje dije dice eres un tonto perrito envidioso ni come ni deja comer la envidia o el egoísmo hace que muchas personas no sólo no hagan realidad sus sueños sino que tampoco permiten que los demás puedan cumplirlo yo creo que eso es interesante hay muchos que efectivamente no tienen ninguna intencionalidad de que podamos aprobar esto porque no lo necesitan pero qué hay de aquello que sí hay que pensar en aquellos que sí en aquellos que si lo necesitamos en aquellos que sí viven en lugares extremos como dijo la convencional navarrete por ejemplo por lo tanto yo creo que esto es claro cada uno en conciencia hará uso de los recursos que se requieran para hacer un buen trabajo pero obstruir el buen trabajo e impedir cumplir los sueños que ya están en la mente y en los corazones de cada uno de nosotros creo que es inoficioso y tenemos que ser cuidadosos
"vidal, rossana", tardes al pleno en general a la mesa en particular ya todos quienes nos siguen en las diferentes plataformas estimados compañeros en la comisión transitoria de ética trabajamos arduamente para lograr un articulado que esté en lo más representativo de todos quienes componemos componemos esta convención no obstante aquí yo una vez que realizamos el texto ya finalizado y escuchamos a diferentes actores hemos tenido la capacidad de reconocer que en algunos puntos a saber las letras de y del artículo 39 era prudente sugerir su eliminación pues por tratarse de tipos comisivos sería muy difícil configurar el tipo y mucho más aún configurar la sanción misma y haciendo alusión al antiguo aforismo jurídico donde existe la misma dispositiva razón existe la misma disposición solicitó respetuosamente se puedan votar de manera conjunta la indicación 74 y 75 para la eliminación tanto de la letra y del respectivo artículo 39 muchas gracias gracias convencional loreto vidal la mesa va a mantener la votación separada pero va a abarcar su explicación como comprensiva también de la indicación número 79 que votaremos en su momento en votación la indicación número 74 para eliminar la letra d
"vidal, rossana", 80
"vidal, rossana", bueno esto tiene un único fundamento que es la coherencia y la concordancia y tiene por finalidad en el fondo ajustar lo que ya probamos en el artículo 24 por lo tanto solicito respetuosamente aprobar esta esta indicación para la sustitución gracias muchas gracias convencional loreto vidal
"vidal, rossana", voy a hacer super breve y concreta primero decir que estoy extremadamente contenta por supuesto que apoyo esta declaración de todas maneras recordarles además que exactamente hace tres meses nos vimos por primera vez nos miramos por primera vez muchos de nosotros a los ojos y bueno cuando escucho a la convencional cubillos debo debo decir esto me siento realmente esperanzada porque esa es la actitud que debemos tener todos más allá de nosotros mismos debemos pensar no en uno sino en el nosotros así es que yo esté realmente contenta y solo decir que bueno todo es circular aristóteles dijo pensemos en nuestra naturaleza en nuestro planeta tierra y pensemos con los niveles del alma todo tiene un valor la piedra sólo existe el árbol existe y vive los animales existen viven y sienten y el hombre existe vive siente y razona y ahí la gran responsabilidad que debemos tener así es que vamos a apoyar esto yo no tengo dudas y esto nos hará mejores mejores como país y muy por sobre todo vamos a dar un mejor futuro a la gente que viene a ocupar esta casa que estábamos teniendo la bastante a maltraer muchísimas gracias
"vidal, rossana", buenas tardes estimados compañeros no sé si me vaya a resultar esto está difícil de decir porque ha sido mucha emoción un cúmulo de emociones bueno si no me resulta [Aplausos] quiero decir además para una compañía que pasó antes que yo estoy acostumbrada a hablar super no me tienen que parar siempre no pero esto no tiene que ver con nuestra capacidad ni cuántas veces nos hemos enfrentado a un otro oa grupos grandes o pequeños tiene que ver con que habiendo tenido una buena vida y habiendo pasado por momentos bellísimos esté y lo juro por la memoria de mi madre que es el más hermoso que habría imaginado jamás el más bello de todos quiero decir quiero decir que escuchaba que se decía porque no estábamos aquí y que no habíamos venido yo quise pensar esto distinto quise pensar porque vine y 15 que ustedes también lo piensen yo les voy a contar por qué vine aquí vine aquí porque vivo en una población en chiguayante bío bío de pronto no sé más allá bueno ahí está en esta población conocí a una de las mujeres más maravillosas del mundo mi vecina gabriela vídeos 102 años 102 años y murió sin tener acceso a una salud digna al final de sus días su familia con un enorme esfuerzo tuvo que comprar salud porque nadie se ocupó de que nadie se ocupe de ello por lo tanto por eso estoy aquí es una de mis razones tenemos que ser capaces de rescatar la salud como un derecho social y no dejarla para siempre como un bien de mercado por favor hagámoslo debemos ser transformadores construir los cimientos de la dignidad y velar por cada una de las personas de nuestro país por todas y todos por quienes nos observan por toda nuestra comunidad debemos ser capaces de abrir nuestra mente y de abrir nuestros corazones también a un trabajo con sentido con compromiso cada uno de nosotros desde nuestra propia experiencia desde nuestro propio contexto biográfico debe ser capaz de ponerse al servicio poner su fuerza su tenacidad sus sueños su capacidad humana debemos hacerlo tenemos que intentarlo y tenemos que tratar de hacerlo bien aunque nos equivoquemos pero también tenemos que ser capaces de corregir nuestros errores es decir es tiempo de valiente porque no hay mayor valentía que aquella que hace que uno sea capaz de reconocer que nos equivocamos y somos capaces de rectificar eso nos falta y sí que nos falta y mucho aquí una frase para mis estudiantes que son motores también por lo que estoy acá siempre les digo a ver partamos es ilógico enemistarse con quienes estamos obligados a entendernos eso hay que vivirla aquí no sigamos así avancemos al diálogo la deliberación es la herramienta el diálogo respetuoso nos salva sin lugar a dudas estoy aquí como mujer como enfermera como abogada como docente formadora como representante de una comunidad como chilena y hoy orgullosamente como convencional estoy aquí porque sueño ser capaz de posicionar la bioética en la constitución porque creo que ella nos ayudará a identificar las líneas de acción que nos permitirán asumir con responsabilidad en el marco de un estado democrático y de derechos los retos del desarrollo tecnológico y científico la cada vez más presente de greda degradación de la biodiversidad la desprotección de los derechos fundamentales la exclusión económica social étnica y política estoy aquí porque frente a las numerosas incertezas que nos plantean las futuras regulaciones legales sanitarias de investigación científica ambientales y de desarrollo humano se torna ineludible asumir la perspectiva bioética apostando hacia una nueva forma de convivencia con respeto en libertad y justicia social estoy aquí también porque trabajo hace más de una década con personas en situación de calle he podido conocer una de las dimensiones más duras de la vulnerabilidad y la exclusión según el registro social de hogar de más de 16.000 conciudadanos nuestros viven en situación de calle hoy porque están en calle es o no es más que una solución precipitada para intentar alejarse del dolor o la única opción que muchas veces tras ser expulsado en sus propias familias es nuestra obligación ética el garantizar el derecho a la vivienda generar un piso mínimo de dignidad es bajo un techo donde proyectamos nuestra vida e iniciamos el real tejido social la situación de calle es sólo una de las formas de situaciones que viven muchos de nuestros conciudadanos la exclusión social tan persistente tan presente tan familiar habitacional de acceso a la salud económica y tantas otras las cuales a diario nos enrostran la ausencia de garantías estatales y herramientas para enfrentarla quizá también del compromiso que se necesita debemos ser capaces de transformar la exclusión en inclusión queridos compañeros mientras avanzamos me doy cuenta que la desconfianza ha invadido casi todos los espacios incluyendo por supuesto la convención constitucional nos cuesta creer que todos tengamos buenas intenciones en lo personal yo no me doy por vencida prefiero creer una y otra vez aun cuando para muchos eso signifique ingenuidad para mí significa creer que todos los seres humanos nos caracteriza la vulnerabilidad esta capacidad que tenemos todos de dañar y ser dañados por eso les pido y les invitó a que saquemos nuestra mejor versión que hagamos el mejor de nuestros esfuerzos cuidemos el buen trato abrámonos a la deliberación respetuosa seria y consistente seamos ejemplos seamos capaces de reconocer el daño y reparar esa es la máxima expresión de un mundo que evoluciona seamos la nueva política la que todos y todos los chilenos crecemos la que recompone las confianzas la que escucha la que es capaz de pedir perdón termine pero quiero decir algo una frase que me acompaña a todos los días antes de venir a esta convención en tanto me quiere un soplo de aire en tanto me quiere amor que entregar en
"vidal, rossana", sí sí ya muy buenas tardes mire sin reírse pero siempre recurro al libro heredado de mi abuela los dichos de mi abuela decía mi abuela a los porfiados hay que dejarlos a veces esta historia ya la discutimos respecto de si era o no válido del punto de vista legal del punto de vista objetivamente posible realizar como obligatorio la toma de pcr finalmente se votó eso y dijimos que si yo manifesté en ese momento que primero no se puede hacer obligatorio ese examen hay una ley incluso que estaría digamos sería contra la ley pero bueno finalmente se votó y había que aceptarlo no obstante aquello lo más raro que yo fui observando es que aceptamos un protocolo con esa obligatoriedad pero nunca se cumplió nunca se ha cumplido tal cual está planteado ahí es decir yo pregunto quién es de los que estamos aquí nos hemos realizado al inicio de la semana y al final de la semana el psr nadie ni nosotros ni accesorio ni gente común y corriente porque es absolutamente inoficioso yo lo planteé en su minuto y es inoficioso además porque porque nos pone en una condición de superioridad respecto del resto de la comunidad porque ninguna parte en ninguna parte cuando una persona va a xinzo sin sintomatología sin que se demuestre probadamente que ha sido contacto estrecho y va a cualquier servicio público y dice quiero que me toquen un pez eso lo toma entonces lo único obligatorio y es importante volver a decirlo porque a ratos se nos olvida estamos en pandemia lo que de verdad debemos hacer obligatorio es el autocuidado el respeto a las medidas de protección personal pero es complejo además que ya hay acciones que se han planteado frente a esa obligatoriedad las cuales me varios son válidas porque no se puede obligar algo que no se ajusta no solo a derecho porque eso sería una cosa sino que la racionalidad que requiere esta acción del punto de vista sanitario porque es una foto del minuto y yo lo dije cuando lo defendí para que no fuera obligatorio 220 millones aproximadamente costaría si hubiéramos hecho este ejercicio de por deporte hacernos pcr dos veces a la semana a todos quienes entramos a este espacio alguien me dijo mandaron fotos después me trataron medio mal pero creo que ha sido las veces que me han tratado más que porque como si yo era de salud bueno cuando me decían se toma gratis habiendo carritos en diferentes partes es lógico cuando no me cobran y me lo hacen gratis eso no quiere decir que lo pague a alguien y eso se paga y se financia con gastos de todos nosotros y no está bien que personas que estando en una peor condición teniendo más razones para poder estar expuestas al riesgo no puedan tomárselo porque no tienen sintomatología y nosotros solo por deporte podamos hacerlo dos veces a la semana costando y eso lo voy a repetir alrededor de 25 pesos la toma de muestra pcr me parece que era ilógico y afortunadamente hoy logramos poner nuevamente en discusión aquello y el que vote que está por tomarlo como obligatorio tendrá que ser aquel que se lo ha tomado rigurosamente desde el día que se aprobó este protocolo dos veces a la semana si no está faltando a un
"vidal, rossana", muchas gracias señor secretario en realidad solamente quise tomar la palabra para hablarle directamente al señor bermúdez no sé cómo se siente uno cuando uno este un esfuerzo cuando uno ha hecho el trabajo consciente por para poder ofrecer la mejor propuesta y la forma como respondemos es de pronto criticando lo tan fuertemente yo creo que de verdad esta es una cuestión que es difícil yo le agradezco de manera personal el que ustedes con el equipo que no que trabajo haga este esfuerzo creo que aquí hay diferentes visiones y creo porque ya había este cronograma y lo debo decir con absoluta transparencia en este minuto se acabó esto de estar en peleas de poca monta y tenemos que a partir de ahora transformarnos en un equipo de alto desempeño poniendo cada una todas sus capacidades para poder llegar a buen puerto porque de verdad los plazos son acotados los tiempos están ajustados y yo creo que hay una cuestión que si yo fuera en este momento el señor bermúdez mientras escucho porque hay buenas propuestas entonces quien haga propuestas que no esté de acuerdo que diga que hay que hacerlo distinto háganlo llegar de manera formal para que después de manera objetiva se pueda revisar y se puedan llegar a los puntos de acuerdo porque sabe lo que pasa y voy a volver y parece que se fue mi compañero de la masa pero lo dijo ayer lo vuelve a repetir hoy yo ustedes saben de mi profesión es que soy enfermera por lo tanto me he dado el trabajo de ir poniendo el termómetro en nuestra comunidad y todos los días conversó con dos o tres personas y es esa visión que se tiene que la convención no es real eso fue probablemente en nuestros primeros tiempos de ajuste la gente hoy está valorando sin ir más lejos lo comentaba ayer en la mañana el taxista ustedes a yo soy buena para conversar y vengo de lejos entonces al final siempre sabe dónde vivo lo que estoy y él me decía esto y me dijo que yo voy a no pues ya están en tierra derecha me dijo ya sé que empezaron a escribir ahora hicieron se demoraron en trazar la cancha pero ya hay gente está con nosotros la gente está apoyando este momento constituyente por lo tanto yo creo que eso no lo tenemos que perder de vista esa historia del circo y toda la cosa y lo digo porque lo repito me lo dijeron personalmente ahí hay un par un par un grupo muy pequeñito que de repente se le olvida dónde viene y comprar la entrada para el circo y se va otro pero acá se está trabajando y no nos tenemos que ahora concentrar en sacar nuestra mejor versión como seres humanos tenemos que ser capaces de aquello los tiempos requieren de verdad no un trabajo cualquiera un trabajo de alto desempeño de alto rendimiento con todas nuestras capacidades y seamos también capaces y lo voy a decir haciéndome cargo de esto de detectar la intencionalidad de retrasar el proceso porque eso no se debe hacer en ningún sentido no tenemos tiempo para darnos el plazo que queramos y yo creo que eso es lo que nos toca ahora trabajar con más conciencia porque ahora esto se puso serio ya no hay espacio para las cosas pequeñas porque esto chile está esperando que nosotros demos a luz en nueve meses bueno no sé los elefantes no sé cuánto demoran en el periodo gestacional capaz que vamos al embarazo los elefantes pero bueno nueve meses en nueve meses debiéramos dar a luz parir esta nueva constitución y vamos a lograrlo si y sólo si todos y cada uno de nosotros de verdad hace su mejor esfuerzo su mejor compromiso les voy a contar algo aquí hoy no sé qué me pasa pero es como que nunca había tenido tanto tiempo en mi vida me siento extraña pero bueno miren les voy a contar algo dice lo voy a hacer llegar después como el regalo el cierre de la convención como yo llego a mi casa y los escucho y escucho lo que hablamos he ido haciendo una secuencia de los términos que habitualmente utiliza cada uno al expresarse y después les voy a entregar un listado de los términos que habitualmente usa de manera tal que se vaya dando cuenta que cuando usted utiliza términos que tienen en su base la intencionalidad de benestar de hacer que el otro no se sienta bien en eso mundo no nos hace bien y uno como siempre digo transmite lo que uno es y lo que uno es aquí más allá de su propia ideología debe dejarlo supeditado a un bien mayor que en nuestro país nuestra comunidad tenemos una comisión promocional de ética está pensando que voy a ganar por por por por poco ver porque parece que fue la única que se presentó y quiero aprovechar los 24 segundos para agradecer profundamente hace un reconocimiento habiendo hecho la solicitud de patrocinios quiero agradecer en primer lugar al pueblo constituyente que en el momento que lo plantee puso a su disposición los 18 patrocinios para poder integrar la comisión así que muchas gracias y aprovechando además decir que devolvía algunos de ese colectivo para poder recoger otros que
"vidal, rossana", muchas gracias secretario y voy a tomar muy muy muy poco tiempo después de haber visto este cronograma agradecer nuevamente como lo hicimos la semana pasada anterior lleva todo el trabajo que se ha hecho para poder hacer una propuesta y además que considero en la mayoría de las cosas que se plantearon ese día ahora es solamente recordar de nuevo porque de pronto uno escucha tantas cosas no a mí me da mucho me entristece mucho que se insista en decir que la convención está desacreditado y o perdiendo confianza yo no sé si yo caminaré por una vereda diferente en la vida pero cada vez que caminó y caminó bastante puedo caminar todo pero bueno en la gente con la que me relaciono yo siento que la confianza y la credibilidad va de retorno yo creo que la gente sigue teniendo sus esperanzas y sus sueños puestos en nosotros nos está viendo tal cual somos no como el chile que somos entonces yo creo que hay que ir cambiando ese relato porque además el lenguaje también va construyendo realidades invitarlos a mí como estoy acá solo en esta ciudad uno empieza a inventar cosas cuando llega a su domicilio sabe que si usted empieza a revisar la cantidad de minutos voy a decirlo con todas sus letras perdidos y que hemos desperdiciado que podría ser de trabajo fecundo porque no entramos en discusiones que tienen que ver con tratar de posicionarnos desde nuestras trincheras y de esos espacios estancos que no nos ayudan en nada entonces yo creo que ahora tenemos que vestirnos así como la piel de foca creo que le dicen que nos empiecen a resbalar aquellas cosas que no tienen que ver con lo que le importa al país que no empecemos a defendernos a demostrarnos entre unos y otros que hagamos lo correcto que si hay alguien que dice falacias o mentiras bueno vaya a la comisión que tiene que hacer pero no no no le demos importancia a lo que a lo que claramente a veces tiene como único fin entran para el proceso porque me propio no estamos dividiendo los colectivos y al final eso pudiera ser una intencionalidad clara de entran para el proceso en la discusión y eso no nos va a hacer bien así es que esa es la invitación un trabajo que tenemos que hacer como un equipo de alto rendimiento de alta excelencia y esto va a depender de todos y cada uno de nosotros eso es lo que chile necesita y quiere vinculemos con nuestra comunidad respondamos a klum a cada pregunta que nos haga y démosle certeza de que esto que estamos haciendo es a lo que vinimos y aquí vinimos a trabajar todos y cada uno de los días que estamos aquí así que yo tengo super confianza y estoy todos los días contenta no sé qué pasa pero en mi
"abarca, damaris", gracias señor secretario saludo la presidenta de suficientes convencionales fui parte de esta comisión nuestro trabajo fue intenso muchas veces controversial pero por sobre todo respetuoso la responsabilidad la celeridad la transparencia y el buen vivir son principios rectores de este reglamento destacar especialmente el principio de perspectiva de género el enfoque de los derechos humanos y el enfoque preventivo materializada la propuesta de una comisión de ética permanente compuesta por los propios convencionales que el comité de ética sea un órgano externo fueron parte de las recomendaciones de las propias organizaciones expertas en la materia que concurrieron a las audiencias públicas evidentemente en nuevos críticos e imprecisiones pero nada que no se pueda dialogar deliberar y finalmente subsanar en las respectivas indicaciones les quiero invitar a probar en general la propuesta de reglamento ya que establece altos estándares éticos y de prioridad lo que es fundamental para este nuevo chile que se está construyendo y de alguna manera avanzar en recuperar la confianza permita la institucionalidad y sus autoridades muchas gracias
